name,datetime,tempmax,tempmin,temp,feelslike,precip,windspeed,winddir,sealevelpressure,cloudcover,season
cairo,1/6/2020,17,10,13.4,13.2,0,42.5,187.9,1015.5,47,Winter
cairo,1/7/2020,15,10.8,12.4,12.4,0,46.4,217.5,1015.7,61,Winter
cairo,1/8/2020,16,8.1,12.2,10.9,0,40.7,226,1017.5,42.7,Winter
cairo,1/9/2020,15,9,11.9,11.3,0.7,31.7,226.5,1016.8,39.3,Winter
cairo,1/10/2020,16,8,12.1,11.5,0,31.7,253.2,1018.4,52.7,Winter
cairo,1/11/2020,17,8,12.7,12.3,0,14.8,189.1,1024.3,30.8,Winter
cairo,1/12/2020,18,11.9,14.3,14.3,0,14.8,228.3,1024.4,64.3,Winter
cairo,1/13/2020,18,10,14.1,14.1,0,18.4,38,1023.8,21.4,Winter
cairo,1/14/2020,18,11,14.7,14.7,0,29.5,48,1023,54.6,Winter
cairo,1/15/2020,21,12,16.5,16.5,0,35.3,60.4,1018.3,49.3,Winter
cairo,1/16/2020,18,13,16,16,0,38.9,191.8,1013.1,53.2,Winter
cairo,1/17/2020,17,11.9,13.8,13.8,1.2,33.5,208,1015.1,59.8,Winter
cairo,1/18/2020,16.8,11.9,13.9,13.9,0.4,22.3,217.2,1018.4,50.3,Winter
cairo,1/19/2020,16,10,13.3,13,0.3,24.1,202.2,1020.6,63.1,Winter
cairo,1/20/2020,17,12,14.4,14.4,0.2,29.5,271.6,1025.5,68.9,Winter
cairo,1/21/2020,16,11,13.2,13.2,0,33.5,308.3,1024.8,56.5,Winter
cairo,1/22/2020,16.1,9,12.8,12.7,0,22.3,307.1,1023.8,56.5,Winter
cairo,1/23/2020,16,8,12.8,12.3,0.1,20.5,219.3,1023.2,54.5,Winter
cairo,1/24/2020,16,10.1,13.4,13.4,0.1,27.7,293.1,1023.4,50,Winter
cairo,1/25/2020,17,6,11.4,11.1,0,20.5,24.7,1029,10.4,Winter
cairo,1/26/2020,17,6,11.8,11.1,0,29.5,49.8,1028.6,35.4,Winter
cairo,1/27/2020,19,7,12.7,11.8,0,31.7,49.3,1023.3,51.1,Winter
cairo,1/28/2020,17,9,13.3,13.3,0,16.6,333.1,1019.8,32.2,Winter
cairo,1/29/2020,18.1,10,14.9,14.8,0,16.6,272.4,1022.2,38.8,Winter
cairo,1/30/2020,19,11,15.5,15.5,0,20.5,289,1022,21.5,Winter
cairo,1/31/2020,19,11,14.6,14.6,0,22.3,288.6,1020.8,32.1,Winter
cairo,2/1/2020,18,9,14.1,13.8,0,16.6,324.8,1022.2,26.2,Winter
cairo,2/2/2020,19,9,14.6,14.6,0,18.4,12.5,1022.7,25.4,Winter
cairo,2/3/2020,18,9.9,14.2,14,0,22.3,15.5,1021.8,29.9,Winter
